"ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default"
1,20000,"2","2","1",24,2,2,-1,-1,-2,-2,3960,3163,764,0,0,0,0,1684288,0,0,0,0,"Y"
2,120000,"2","2","2",26,-1,2,0,0,0,2,2691,1728,2679,3264,3458,3270,0,1684288,896060,621037,0,528665,"Y"
3,90000,"2","2","2",34,0,0,0,0,0,0,29266,14058,13594,14369,14979,15576,873589,1684288,896060,621037,426531,528665,"N"
4,50000,"2","2","1",37,0,0,0,0,0,0,47023,48272,49336,28366,28998,29580,873589,1684288,896060,621037,426531,528665,"N"
6,50000,"1","1","2",37,0,0,0,0,0,0,64418,57086,57624,19409,19636,20042,873589,1684288,896060,621037,426531,528665,"N"
8,1e+05,"2","2","2",23,0,-1,-1,0,0,-1,11894,397,617,236,-142,585,873589,1684288,0,621037,426531,528665,"N"
9,140000,"2","3","1",28,0,0,2,0,0,0,11345,14177,12209,12332,11874,3779,873589,0,896060,621037,426531,528665,"Y"
10,20000,"1","3","2",35,-2,-2,-2,-2,-1,-1,0,0,0,0,13025,13931,0,0,0,621037,426531,0,"N"
11,2e+05,"2","3","2",34,0,0,2,0,0,-1,11119,9846,5607,2598,1887,3777,873589,1684288,896060,621037,426531,528665,"N"
12,260000,"2","1","2",51,-1,-1,-1,-1,-1,2,12327,21759,10077,8651,22376,13734,873589,1684288,896060,621037,0,528665,"N"
13,630000,"2","2","2",41,-1,0,-1,-1,-1,-1,12129,6478,6464,6451,6478,2862,873589,1684288,896060,621037,426531,0,"N"
14,70000,"1","2","2",30,1,2,2,0,0,2,65816,67381,65710,66788,36149,36908,873589,0,896060,621037,426531,0,"Y"
15,250000,"1","1","2",29,0,0,0,0,0,0,70904,67076,63576,59709,56891,55529,873589,1684288,896060,621037,426531,528665,"N"
16,50000,"2","3","3",23,1,2,0,0,0,0,50647,29212,28161,28823,29570,30244,0,1684288,896060,621037,426531,528665,"N"
18,320000,"1","1","1",49,0,0,0,-1,-1,-1,253253,246476,194577,69961,5796,195566,873589,1684288,896060,621037,426531,528665,"Y"
19,360000,"2","1","1",49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"N"
21,130000,"2","3","2",39,0,0,0,0,0,-1,38372,27699,24497,20621,11813,944,873589,1684288,896060,621037,426531,528665,"N"
22,120000,"2","2","1",39,-1,-1,-1,-1,-1,-1,300,283,265,0,599,300,873589,1684288,0,621037,426531,0,"Y"
23,70000,"2","2","2",26,2,0,0,2,2,2,41104,42460,45033,44017,46920,46029,873589,1684288,0,621037,0,528665,"Y"
25,90000,"1","1","2",23,0,0,0,-1,0,0,4802,7147,0,5513,6437,8350,873589,0,896060,621037,426531,528665,"N"
26,50000,"1","3","2",23,0,0,0,0,0,0,47631,41817,36026,28965,29836,30057,873589,1684288,896060,621037,426531,528665,"N"
27,60000,"1","1","2",27,1,-2,-1,-1,-1,-1,-94,-413,269,-50,139,-174,0,1684288,0,621037,0,528665,"Y"
28,50000,"2","3","2",30,0,0,0,0,0,0,22526,16105,17112,17810,18898,19602,873589,1684288,896060,621037,426531,528665,"N"
29,50000,"2","3","1",47,-1,-1,-1,-1,-1,-1,679,3449,3454,2083,30464,286,873589,1684288,896060,621037,426531,0,"N"
30,50000,"1","1","2",26,0,0,0,0,0,0,15336,16576,17490,17895,18376,11407,873589,1684288,896060,621037,426531,0,"N"
32,50000,"1","2","2",33,2,0,0,0,0,0,30552,29659,22150,22789,23258,23714,873589,1684288,896060,621037,426531,528665,"Y"
33,1e+05,"1","1","2",32,0,0,0,0,0,0,93077,84122,82941,81030,78754,75630,873589,1684288,896060,621037,426531,528665,"N"
34,5e+05,"2","2","1",54,-2,-2,-2,-2,-2,-2,10937,4154,22718,7511,71441,8989,873589,1684288,896060,621037,426531,528665,"N"
35,5e+05,"1","1","1",58,-2,-2,-2,-2,-2,-2,13739,5041,31170,3225,0,5323,873589,1684288,896060,0,426531,528665,"N"
36,160000,"1","1","2",30,-1,-1,-2,-2,-2,-1,30251,-163,-576,-989,-1520,-1898,873589,1684288,896060,621037,426531,0,"N"
37,280000,"1","2","1",40,0,0,0,0,0,0,186507,181324,180411,170391,173897,177417,873589,1684288,896060,621037,426531,528665,"N"
38,60000,"2","2","2",22,0,0,0,0,0,-1,15057,9800,11054,6003,-28341,18663,873589,1684288,896060,0,426531,528665,"N"
39,50000,"1","1","2",25,1,-1,-1,-2,-2,-2,0,728,0,0,0,0,873589,0,0,0,0,0,"Y"
40,280000,"1","1","2",31,-1,-1,2,-1,0,-1,519,9096,4662,9998,17997,9498,873589,0,896060,621037,426531,528665,"N"
41,360000,"1","1","2",33,0,0,0,0,0,0,218692,221322,206923,628729,195995,179248,873589,1684288,896060,621037,426531,528665,"N"
43,10000,"1","2","2",22,0,0,0,0,0,0,1912,3227,6053,3634,3713,4486,873589,1684288,896060,621037,426531,528665,"N"
44,140000,"2","2","1",37,0,0,0,0,0,0,59509,61542,62916,64264,67077,69807,873589,1684288,896060,621037,426531,528665,"N"
45,40000,"2","1","2",30,0,0,0,2,0,0,18920,21274,25886,25161,26615,29190,873589,1684288,0,621037,426531,0,"N"
47,20000,"2","1","2",22,0,0,2,-1,0,0,14032,16480,15788,16320,16671,0,873589,0,896060,621037,0,0,"Y"
48,150000,"2","5","2",46,0,0,-1,0,0,-2,4512,3097,1248,1262,0,0,873589,1684288,0,0,0,0,"Y"
49,380000,"1","2","2",32,-1,-1,-1,-1,-1,-1,22412,21547,15137,32016,11856,11884,873589,1684288,896060,621037,426531,528665,"N"
50,20000,"1","1","2",24,0,0,0,0,0,0,17480,18519,19522,19918,20520,20096,873589,1684288,896060,621037,426531,528665,"N"
51,70000,"1","3","2",42,1,2,2,2,2,0,37068,36201,38388,39459,38689,39388,0,1684288,896060,0,426531,528665,"Y"
52,1e+05,"2","3","3",43,0,0,0,0,0,0,61563,51159,43813,39600,35758,33262,873589,1684288,896060,621037,426531,528665,"N"
53,310000,"2","2","1",49,-2,-2,-2,-2,-2,-2,13517,7934,7683,11284,3611,516,873589,1684288,896060,621037,426531,0,"N"
54,180000,"2","1","2",25,1,2,0,0,0,0,41435,41781,42804,43562,44459,45352,873589,1684288,896060,621037,426531,528665,"N"
55,150000,"2","1","2",29,2,0,0,0,0,0,46246,35016,31458,26542,21065,16562,873589,1684288,896060,621037,426531,528665,"N"
56,5e+05,"2","1","1",45,-2,-2,-2,-2,-2,-2,1931,3668,193,0,179,2556,873589,1684288,0,621037,426531,0,"N"
57,180000,"2","3","1",34,0,0,0,-1,-1,-1,16420,15833,8488,7196,-639,8355,873589,1684288,896060,621037,426531,528665,"N"
58,180000,"2","2","1",34,0,0,0,0,0,0,175908,173463,172332,168632,132225,129940,873589,1684288,896060,621037,426531,528665,"N"
59,2e+05,"2","1","2",34,-1,3,2,2,2,2,1547,1028,682,1036,630,1374,0,0,896060,0,426531,0,"N"
60,4e+05,"2","2","1",29,0,0,0,0,0,0,400160,398886,404236,360233,356685,364115,873589,1684288,896060,621037,426531,528665,"N"
61,5e+05,"2","3","1",28,0,0,0,0,0,0,22861,23647,18883,14939,13836,15584,873589,1684288,896060,621037,426531,528665,"Y"
64,50000,"2","2","1",46,0,0,0,-2,-2,-2,28766,29228,0,0,0,0,873589,0,0,0,0,0,"Y"
65,130000,"2","2","1",51,-1,-1,-2,-2,-1,-1,104,0,0,0,2351,0,0,0,0,621037,0,0,"N"
66,2e+05,"1","1","1",57,-2,-2,-2,-1,2,2,152565,148810,144148,8259,8257,7964,0,0,896060,621037,0,528665,"Y"
68,210000,"2","1","2",30,2,-1,-1,-1,-1,-1,341,351,1221,2352,351,4291,873589,1684288,896060,621037,426531,528665,"N"
69,130000,"2","3","2",29,1,-2,-2,-1,2,-1,-152,-9802,-9793,10377,10209,7357,0,0,896060,0,426531,528665,"N"
70,20000,"1","5","2",22,2,0,0,0,0,0,18599,17246,17334,18141,11247,6016,0,1684288,896060,621037,426531,0,"N"
71,80000,"1","1","2",31,-1,-1,-1,-1,-1,-1,779,0,368,358,379,389,0,1684288,896060,621037,426531,528665,"N"
72,320000,"1","2","2",29,2,2,2,2,2,2,58285,59263,60200,58637,62324,63544,873589,1684288,0,621037,426531,528665,"Y"
75,340000,"1","1","2",32,-1,-1,-1,-1,-1,-1,3057,5554,23335,4284,80157,25829,873589,1684288,896060,621037,426531,528665,"N"
76,20000,"1","2","2",24,0,0,2,0,0,0,14651,17253,16685,17025,17369,18575,873589,0,896060,621037,426531,0,"N"
77,50000,"1","3","2",25,-1,0,0,0,0,0,42873,37268,36138,9694,9633,10065,873589,1684288,896060,621037,426531,528665,"N"
78,3e+05,"2","1","1",45,-1,-1,-1,-1,-1,-1,320,325,330,334,325,320,873589,1684288,896060,621037,426531,528665,"N"
81,470000,"2","3","3",33,0,0,0,0,0,0,165304,157849,162783,70019,29336,29939,873589,1684288,896060,621037,426531,528665,"N"
82,360000,"2","1","2",26,0,0,0,0,0,-1,23436,27824,30430,33133,180028,221,873589,1684288,896060,621037,426531,528665,"N"
83,60000,"1","3","2",30,0,0,0,0,0,0,26346,27494,28132,22017,19922,19793,873589,1684288,896060,621037,426531,0,"Y"
84,4e+05,"2","2","1",44,0,0,2,0,0,0,131613,139076,126834,104444,105006,94076,873589,1684288,896060,621037,426531,528665,"N"
85,50000,"2","3","2",49,0,0,0,0,0,0,48905,47847,21461,20374,19326,19478,873589,1684288,896060,621037,426531,528665,"N"
86,160000,"1","2","2",33,0,0,0,0,0,0,130060,107846,71978,118469,118445,120450,873589,1684288,896060,621037,426531,528665,"N"
87,360000,"2","1","1",45,-1,-1,2,0,-1,-1,406,1183,791,399,403,406,873589,0,0,621037,426531,528665,"Y"
88,160000,"2","2","2",32,0,0,0,0,0,-1,3842,4766,6617,8615,7087,782,873589,1684288,896060,0,426531,528665,"N"
91,2e+05,"1","1","1",53,2,2,2,2,2,2,138228,140836,142536,144188,147186,149579,873589,1684288,896060,621037,426531,528665,"Y"
